2018-11-22 16:35:25,023 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-22 16:35:25,025 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-22 16:35:50,620 [Worker-5: Creating project "test2"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.pfuser:test2:0.0.1-SNAPSHOT @ D:\new_space\space1\test2\pom.xml.
2018-11-22 16:35:50,874 [Worker-5: Creating project "test2"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /test2/src/main/java
2018-11-22 16:35:50,875 [Worker-5: Creating project "test2"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /test2/src/main/resources
2018-11-22 16:35:50,876 [Worker-5: Creating project "test2"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /test2/src/test/java
2018-11-22 16:35:50,876 [Worker-5: Creating project "test2"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /test2/src/test/resources
2018-11-22 16:35:51,421 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-22 16:35:51,423 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-22 16:35:51,425 [Worker-16: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-22 16:35:51,427 [Worker-16: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-22 16:36:20,331 [Worker-4: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-22 16:36:20,342 [Worker-4: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
